#start log.
#N1M m2an lo3 4igh de5^2 6mean bde7^2 bsg8p bsn9m g10 bd11v^2*g n_eff12
theta 23.1099 0.266033 101.54 183.463 23.1068 0.0248724 2 2000 136.185 3.41695 53.6919
#N1M m2an lo3 4igh de5^2 6mean bde7^2 bsg8p bsn9m g10 bd11v^2*g n_eff12
theta 23.174 0.266033 101.54 182.405 23.1748 0.0368678 3 2000 91.3598 3.41906 53.3495
#N1M m2an lo3 4igh de5^2 6mean bde7^2 bsg8p bsn9m g10 bd11v^2*g n_eff12
theta 22.9622 0.266033 101.54 181.886 22.9665 0.0499778 4 2000 70.0521 3.4851 52.1897
#N1M m2an lo3 4igh de5^2 6mean bde7^2 bsg8p bsn9m g10 bd11v^2*g n_eff12
theta 23.2405 0.266033 101.54 183.295 23.2388 0.0602013 5 2000 54.6316 3.42467 53.5221
#N1M m2an lo3 4igh de5^2 6mean bde7^2 bsg8p bsn9m g10 bd11v^2*g n_eff12
theta 23.2431 0.266033 101.54 181.86 23.2339 0.0762539 6 2000 46.0723 3.43812 52.8951
#N1M m2an lo3 4igh de5^2 6mean bde7^2 bsg8p bsn9m g10 bd11v^2*g n_eff12
theta 23.1121 0.266033 101.54 184.225 23.0983 0.0858864 7 2000 40.2688 3.55124 51.8764
#N1M m2an lo3 4igh de5^2 6mean bde7^2 bsg8p bsn9m g10 bd11v^2*g n_eff12
theta 23.0838 0.266033 101.54 187.528 23.0824 0.101405 8 2000 35.7102 3.66338 51.1898
#N1M m2an lo3 4igh de5^2 6mean bde7^2 bsg8p bsn9m g10 bd11v^2*g n_eff12
theta 22.9603 0.266033 101.54 180.481 22.9616 0.113924 9 2000 30.6324 3.40429 53.0157
#N1M m2an lo3 4igh de5^2 6mean bde7^2 bsg8p bsn9m g10 bd11v^2*g n_eff12
theta 23.2943 0.266033 101.54 185.338 23.2865 0.123186 10 2000 27.5985 3.49865 52.974
#N1M m2an lo3 4igh de5^2 6mean bde7^2 bsg8p bsn9m g10 bd11v^2*g n_eff12
theta 23.0552 0.266033 101.54 180.863 23.0523 0.150047 12 2000 23.0172 3.41788 52.9169
#N1M m2an lo3 4igh de5^2 6mean bde7^2 bsg8p bsn9m g10 bd11v^2*g n_eff12
theta 22.8966 0.266033 101.54 182.265 22.8858 0.182324 14 2000 20.1049 3.50999 51.9276
#N1M m2an lo3 4igh de5^2 6mean bde7^2 bsg8p bsn9m g10 bd11v^2*g n_eff12
theta 23.1848 0.266033 101.54 189.761 23.1845 0.209907 16 2000 18.4117 3.82256 49.6423
#N1M m2an lo3 4igh de5^2 6mean bde7^2 bsg8p bsn9m g10 bd11v^2*g n_eff12
theta 23.18 0.266033 101.54 180.896 23.1869 0.225191 18 2000 16.1807 3.60471 50.1831
#N1M m2an lo3 4igh de5^2 6mean bde7^2 bsg8p bsn9m g10 bd11v^2*g n_eff12
theta 23.1338 0.266033 101.54 187.745 23.1332 0.263112 20 2000 13.7997 3.54421 52.9723
#N1M m2an lo3 4igh de5^2 6mean bde7^2 bsg8p bsn9m g10 bd11v^2*g n_eff12
theta 23.3318 0.266033 101.54 183.741 23.3265 0.302343 25 2000 12.1364 3.81843 48.1195
#N1M m2an lo3 4igh de5^2 6mean bde7^2 bsg8p bsn9m g10 bd11v^2*g n_eff12
theta 23.5644 0.266033 101.54 187.087 23.5708 0.397776 30 2000 9.5583 3.67194 50.9505
#N1M m2an lo3 4igh de5^2 6mean bde7^2 bsg8p bsn9m g10 bd11v^2*g n_eff12
theta 23.1067 0.266033 101.54 193.376 23.0813 0.524759 40 2000 7.00672 3.71213 52.0929
#N1M m2an lo3 4igh de5^2 6mean bde7^2 bsg8p bsn9m g10 bd11v^2*g n_eff12
theta 23.3884 0.266033 101.54 183.725 23.3866 0.618909 50 2000 5.80904 3.65502 50.2665
